component_id,nodes_count,component_labels
169444,11,"[
  [protein]
]"
174278,11,"[
  [protein],
  [peptide]
]"
174576,11,"[
  [protein],
  [peptide]
]"
179280,11,"[
  [protein]
]"
184181,11,"[
  [peptide],
  [protein],
  [dna]
]"
192069,11,"[
  [protein],
  [dna]
]"
198611,11,"[
  [rna],
  [small_molecule]
]"
164012,10,"[
  [protein]
]"
164027,10,"[
  [protein]
]"
164221,10,"[
  [protein]
]"
164240,10,"[
  [protein]
]"
165258,10,"[
  [protein],
  [peptide]
]"
165440,10,"[
  [protein]
]"
165943,10,"[
  [protein]
]"
165979,10,"[
  [protein],
  [peptide]
]"
166338,10,"[
  [protein]
]"
166580,10,"[
  [protein]
]"
167404,10,"[
  [protein]
]"
167470,10,"[
  [protein]
]"
167677,10,"[
  [protein]
]"
167793,10,"[
  [protein]
]"
167799,10,"[
  [protein]
]"
167833,10,"[
  [protein]
]"
167870,10,"[
  [protein]
]"
167886,10,"[
  [protein]
]"
167926,10,"[
  [protein]
]"
167979,10,"[
  [protein]
]"
168004,10,"[
  [protein]
]"
168032,10,"[
  [protein]
]"
168163,10,"[
  [protein]
]"
168222,10,"[
  [protein],
  [peptide]
]"
168245,10,"[
  [protein],
  [peptide]
]"
168281,10,"[
  [protein]
]"
168307,10,"[
  [protein]
]"
168437,10,"[
  [protein]
]"
168455,10,"[
  [protein]
]"
168520,10,"[
  [protein]
]"
168592,10,"[
  [protein]
]"
168678,10,"[
  [protein]
]"
168834,10,"[
  [protein]
]"
174083,10,"[
  [protein],
  [peptide]
]"
174804,10,"[
  [protein],
  [peptide]
]"
175480,10,"[
  [protein],
  [small_molecule]
]"
182750,10,"[
  [rna],
  [small_molecule]
]"
184033,10,"[
  [protein],
  [dna]
]"
184365,10,"[
  [protein],
  [dna]
]"
184425,10,"[
  [protein],
  [dna]
]"
184578,10,"[
  [protein],
  [dna]
]"
184633,10,"[
  [protein],
  [dna]
]"
184707,10,"[
  [protein],
  [dna]
]"
184728,10,"[
  [protein],
  [dna]
]"
185126,10,"[
  [protein],
  [dna]
]"
185128,10,"[
  [protein],
  [dna]
]"
185690,10,"[
  [protein],
  [dna]
]"
186098,10,"[
  [protein],
  [peptide],
  [dna]
]"
189669,10,"[
  [protein],
  [dna]
]"
198487,10,"[
  [rna],
  [small_molecule]
]"
198635,10,"[
  [rna],
  [small_molecule]
]"
81337,10,"[
  [protein],
  [small_molecule]
]"
202251,10,"[
  [protein],
  [small_molecule]
]"
202535,10,"[
  [protein],
  [small_molecule]
]"
163968,9,"[
  [protein]
]"
164238,9,"[
  [protein]
]"
164340,9,"[
  [protein]
]"
164481,9,"[
  [protein]
]"
164915,9,"[
  [protein]
]"
164983,9,"[
  [protein]
]"
165068,9,"[
  [protein]
]"
165189,9,"[
  [protein]
]"
165279,9,"[
  [protein]
]"
165610,9,"[
  [protein]
]"
165852,9,"[
  [protein]
]"
166132,9,"[
  [protein]
]"
166228,9,"[
  [protein]
]"
